image_id,file_name,class_name,true_label,split,image_path,resolved_image_path,source,source_filepath,concept_key,concept_peripheral_ground_glass_opacities_label,concept_bilateral_involvement_label,concept_multilobar_distribution_label,concept_crazy_paving_pattern_label,concept_absence_of_lobar_consolidation_label,concept_localized_or_diffuse_presentation_label,concept_increased_density_in_the_lung_label,concept_ground_glass_appearance_label,task_prediction,task_probability_noncovid,task_probability_covid,neural_prediction,neural_probability_noncovid,neural_probability_covid,concept_score_peripheral_ground_glass_opacities,concept_score_bilateral_involvement,concept_score_multilobar_distribution,concept_score_crazy_paving_pattern,concept_score_absence_of_lobar_consolidation,concept_score_localized_or_diffuse_presentation,concept_score_increased_density_in_the_lung,concept_score_ground_glass_appearance,concept_pred_peripheral_ground_glass_opacities_label,concept_pred_bilateral_involvement_label,concept_pred_multilobar_distribution_label,concept_pred_crazy_paving_pattern_label,concept_pred_absence_of_lobar_consolidation_label,concept_pred_localized_or_diffuse_presentation_label,concept_pred_increased_density_in_the_lung_label,concept_pred_ground_glass_appearance_label
covid_2020_02_10_20021584_p6_52_14,2020.02.10.20021584-p6-52%14.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%14.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%14.png,original,,2020.02.10.20021584-p6-52%14.png,0,1,1,0,1,1,1,1,1,0.00037486598,0.9996251,1,0.3821672,0.462312,0.70183253,0.6448748,0.79415166,0.4677599,0.5400422,0.70047027,0.704085,0.7177039,1,1,1,0,1,1,1,1
covid_2020_02_10_20021584_p6_52_15,2020.02.10.20021584-p6-52%15.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%15.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%15.png,original,,2020.02.10.20021584-p6-52%15.png,1,1,1,0,1,1,1,1,1,0.00010476722,0.9998952,1,0.37612602,0.45870084,0.72203034,0.6449603,0.8001455,0.46762574,0.5466323,0.71646726,0.7017644,0.7246214,1,1,1,0,1,1,1,1
covid_2020_02_10_20021584_p6_52_2,2020.02.10.20021584-p6-52%2.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%2.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%2.png,original,,2020.02.10.20021584-p6-52%2.png,1,1,1,0,1,1,1,1,1,5.70881e-05,0.9999429,1,0.3634649,0.46149397,0.73850733,0.6663207,0.83131564,0.46149397,0.5514188,0.730515,0.72852176,0.7546644,1,1,1,0,1,1,1,1
covid_2020_02_10_20021584_p6_52_3,2020.02.10.20021584-p6-52%3.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%3.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%3.png,original,,2020.02.10.20021584-p6-52%3.png,1,1,1,0,1,1,1,1,1,0.0010958654,0.9989041,1,0.39947593,0.46834707,0.6961746,0.6161863,0.7664112,0.4619688,0.5316529,0.674381,0.6666996,0.6973689,1,1,1,0,1,1,1,1
covid_2020_02_10_20021584_p6_52_4,2020.02.10.20021584-p6-52%4.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%4.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%4.png,original,,2020.02.10.20021584-p6-52%4.png,1,1,1,0,1,1,1,1,1,4.8849374e-06,0.9999951,1,0.34639663,0.45497862,0.7603389,0.69376016,0.8568622,0.46251613,0.5658832,0.75619555,0.7559913,0.77588105,1,1,1,0,1,1,1,1
covid_2020_02_10_20021584_p6_52_5,2020.02.10.20021584-p6-52%5.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%5.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%5.png,original,,2020.02.10.20021584-p6-52%5.png,0,1,1,0,1,1,1,1,1,1.7434289e-06,0.9999982,1,0.32955143,0.45178124,0.7905457,0.70629644,0.8814602,0.45702833,0.57673603,0.7860093,0.7786287,0.80236924,1,1,1,0,1,1,1,1
covid_2020_02_10_20021584_p6_52_6,2020.02.10.20021584-p6-52%6.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%6.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%6.png,original,,2020.02.10.20021584-p6-52%6.png,1,1,1,0,1,1,1,1,1,3.5407566e-06,0.9999964,1,0.34478712,0.45432436,0.76280594,0.6916254,0.86008906,0.4619458,0.56616116,0.76147234,0.7619617,0.7782897,1,1,1,0,1,1,1,1
covid_2020_02_10_20021584_p6_52_7,2020.02.10.20021584-p6-52%7.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%7.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%7.png,original,,2020.02.10.20021584-p6-52%7.png,1,1,1,0,1,1,1,1,1,0.00035951482,0.99964046,1,0.38893926,0.46581215,0.71317285,0.6312161,0.7792632,0.4653206,0.53468853,0.69015217,0.67308646,0.71337706,1,1,1,0,1,1,1,1
covid_2020_02_10_20021584_p6_52_8,2020.02.10.20021584-p6-52%8.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%8.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%8.png,original,,2020.02.10.20021584-p6-52%8.png,1,1,1,0,1,1,1,1,1,7.721278e-05,0.99992275,1,0.37747943,0.45949757,0.71605015,0.6532716,0.80071145,0.46814883,0.5461478,0.7093929,0.7007955,0.72325593,1,1,1,0,1,1,1,1
covid_2020_02_10_20021584_p6_52_9,2020.02.10.20021584-p6-52%9.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%9.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%9.png,original,,2020.02.10.20021584-p6-52%9.png,1,1,1,0,1,1,1,1,1,0.003154636,0.9968453,1,0.4002113,0.46675247,0.70314634,0.6248575,0.7822517,0.45134598,0.53529346,0.6752657,0.6701455,0.69414705,1,1,1,0,1,1,1,1
covid_2020_02_11_20021493_p16_109_0,2020.02.11.20021493-p16-109%0.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.11.20021493-p16-109%0.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.11.20021493-p16-109%0.png,original,,2020.02.11.20021493-p16-109%0.png,1,1,1,0,1,1,1,1,1,0.0065428657,0.99345714,1,0.40842736,0.4608953,0.70798105,0.5716505,0.7651532,0.39756444,0.5378777,0.69247186,0.6678408,0.66377544,1,1,1,0,1,1,1,1
covid_2020_02_11_20021493_p16_109_1,2020.02.11.20021493-p16-109%1.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.11.20021493-p16-109%1.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.11.20021493-p16-109%1.png,original,,2020.02.11.20021493-p16-109%1.png,1,1,1,0,1,1,1,1,1,0.0009982141,0.9990018,1,0.4004859,0.4698796,0.7030301,0.61993355,0.78148144,0.44619855,0.5343543,0.68025213,0.67169636,0.68486965,1,1,1,0,1,1,1,1
covid_2020_02_11_20021493_p16_109_2,2020.02.11.20021493-p16-109%2.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.11.20021493-p16-109%2.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.11.20021493-p16-109%2.png,original,,2020.02.11.20021493-p16-109%2.png,1,1,1,0,1,1,1,1,1,0.001185988,0.998814,1,0.40007588,0.4695875,0.7005264,0.61071175,0.75225997,0.46783495,0.52761006,0.6737259,0.65436983,0.6941767,1,1,1,0,1,1,1,1
covid_2020_02_11_20022053_p12_67_0,2020.02.11.20022053-p12-67%0.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.11.20022053-p12-67%0.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.11.20022053-p12-67%0.png,original,,2020.02.11.20022053-p12-67%0.png,0,0,0,0,1,1,1,1,1,0.0049169506,0.9950831,1,0.40785918,0.46878943,0.6613407,0.6199555,0.727722,0.4768209,0.5296775,0.6573162,0.6436429,0.6568775,1,1,1,0,1,1,1,1
covid_2020_02_11_20022053_p12_67_1,2020.02.11.20022053-p12-67%1.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.11.20022053-p12-67%1.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.11.20022053-p12-67%1.png,original,,2020.02.11.20022053-p12-67%1.png,1,1,1,0,1,1,1,1,1,0.0033979458,0.99660206,1,0.39041743,0.45995966,0.74822503,0.61319184,0.78482056,0.43271065,0.5219604,0.69133127,0.67476714,0.70771474,1,1,1,0,1,1,1,1
covid_2020_02_11_20022053_p12_67_2,2020.02.11.20022053-p12-67%2.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.11.20022053-p12-67%2.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.11.20022053-p12-67%2.png,original,,2020.02.11.20022053-p12-67%2.png,0,1,1,0,1,1,1,1,1,0.0015682965,0.99843174,1,0.40995932,0.46908712,0.6696836,0.6027002,0.7302838,0.47323376,0.52076626,0.6521306,0.6438218,0.6718804,1,1,1,0,1,1,1,1
covid_2020_02_11_20022053_p12_67_3,2020.02.11.20022053-p12-67%3.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.11.20022053-p12-67%3.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.11.20022053-p12-67%3.png,original,,2020.02.11.20022053-p12-67%3.png,0,0,0,0,1,0,0,0,1,0.009180599,0.9908194,1,0.41438714,0.467518,0.6692009,0.5847021,0.71277887,0.47669697,0.51600266,0.64669013,0.6360061,0.6637396,1,1,1,0,1,1,1,1
covid_2020_02_13_20022673_p13_77_0,2020.02.13.20022673-p13-77%0.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.13.20022673-p13-77%0.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.13.20022673-p13-77%0.png,original,,2020.02.13.20022673-p13-77%0.png,1,1,1,0,1,1,1,1,1,4.521986e-06,0.99999547,1,0.34779927,0.44952932,0.7856803,0.65207314,0.8617059,0.44952932,0.5415766,0.75905246,0.7566728,0.800655,1,1,1,0,1,1,1,1
covid_2020_02_13_20022673_p13_77_1,2020.02.13.20022673-p13-77%1.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.13.20022673-p13-77%1.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.13.20022673-p13-77%1.png,original,,2020.02.13.20022673-p13-77%1.png,1,1,1,0,1,1,1,1,1,0.003751484,0.99624854,1,0.40368745,0.468839,0.689353,0.60543674,0.74297905,0.46914724,0.5269488,0.6699708,0.65081,0.6807063,1,1,1,0,1,1,1,1
covid_2020_02_13_20022673_p13_77_2,2020.02.13.20022673-p13-77%2.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.13.20022673-p13-77%2.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.13.20022673-p13-77%2.png,original,,2020.02.13.20022673-p13-77%2.png,1,1,1,1,1,1,1,1,1,0.00013304852,0.99986696,1,0.3866561,0.46878245,0.7240476,0.6162435,0.784972,0.46405068,0.5300498,0.6964431,0.68683076,0.72710204,1,1,1,0,1,1,1,1
covid_2020_02_17_20024018_p17_61_0,2020.02.17.20024018-p17-61%0.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.17.20024018-p17-61%0.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.17.20024018-p17-61%0.png,original,,2020.02.17.20024018-p17-61%0.png,1,1,1,0,1,1,1,1,1,8.025712e-05,0.9999198,1,0.37577224,0.46786845,0.7329413,0.63966715,0.80855393,0.4620681,0.53970045,0.7120614,0.7038488,0.742067,1,1,1,0,1,1,1,1
covid_2020_02_17_20024018_p17_61_1,2020.02.17.20024018-p17-61%1.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.17.20024018-p17-61%1.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.17.20024018-p17-61%1.png,original,,2020.02.17.20024018-p17-61%1.png,1,1,1,0,1,1,1,1,1,0.00024193048,0.99975806,1,0.38452852,0.4655126,0.71708757,0.63746315,0.7892663,0.4660064,0.5378337,0.6969503,0.6831201,0.7207004,1,1,1,0,1,1,1,1
covid_2020_02_17_20024018_p17_61_2,2020.02.17.20024018-p17-61%2.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.17.20024018-p17-61%2.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.17.20024018-p17-61%2.png,original,,2020.02.17.20024018-p17-61%2.png,1,1,1,0,1,1,1,1,1,0.0003409336,0.99965906,1,0.39361128,0.46966407,0.7058549,0.61907196,0.780831,0.46222234,0.5311525,0.6832382,0.6821818,0.71422964,1,1,1,0,1,1,1,1
covid_2020_02_17_20024018_p17_61_3,2020.02.17.20024018-p17-61%3.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.17.20024018-p17-61%3.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.17.20024018-p17-61%3.png,original,,2020.02.17.20024018-p17-61%3.png,1,1,1,0,1,1,1,1,1,0.00031412038,0.9996859,1,0.38683078,0.45986545,0.7019562,0.6497972,0.7818583,0.46961915,0.5420705,0.69151235,0.6782504,0.7053511,1,1,1,0,1,1,1,1
covid_2020_02_17_20024018_p17_61_4,2020.02.17.20024018-p17-61%4.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.17.20024018-p17-61%4.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.17.20024018-p17-61%4.png,original,,2020.02.17.20024018-p17-61%4.png,1,1,1,0,1,1,1,1,1,9.338428e-05,0.99990666,1,0.38100615,0.46386346,0.7073561,0.647218,0.7981237,0.46689764,0.5399262,0.70080644,0.70192903,0.7233241,1,1,1,0,1,1,1,1
covid_2020_02_19_20025023_p20_93_0,2020.02.19.20025023-p20-93%0.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.19.20025023-p20-93%0.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.19.20025023-p20-93%0.png,original,,2020.02.19.20025023-p20-93%0.png,1,1,1,0,1,1,1,1,1,2.958044e-05,0.99997044,1,0.36659887,0.45928594,0.7242267,0.667745,0.82455266,0.4664683,0.5496034,0.72514665,0.7314309,0.7431591,1,1,1,0,1,1,1,1
covid_2020_02_19_20025023_p20_93_1,2020.02.19.20025023-p20-93%1.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.19.20025023-p20-93%1.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.19.20025023-p20-93%1.png,original,,2020.02.19.20025023-p20-93%1.png,1,1,1,0,1,1,1,1,1,0.00012543604,0.9998746,1,0.38303846,0.46756855,0.7134818,0.6348376,0.794656,0.46413484,0.5359528,0.69940794,0.69536334,0.726729,1,1,1,0,1,1,1,1
covid_2020_02_19_20025023_p20_93_2,2020.02.19.20025023-p20-93%2.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.19.20025023-p20-93%2.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.19.20025023-p20-93%2.png,original,,2020.02.19.20025023-p20-93%2.png,1,1,1,0,1,1,1,1,1,2.5820307e-05,0.99997413,1,0.366966,0.45938858,0.7355347,0.6602579,0.82068926,0.46550187,0.5513473,0.72821456,0.71809626,0.74386877,1,1,1,0,1,1,1,1
covid_2020_02_19_20025023_p20_93_3,2020.02.19.20025023-p20-93%3.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.19.20025023-p20-93%3.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.19.20025023-p20-93%3.png,original,,2020.02.19.20025023-p20-93%3.png,1,1,1,0,1,1,1,1,1,0.00025667288,0.9997433,1,0.3640485,0.4534067,0.7433534,0.68741244,0.8429291,0.45493862,0.5630272,0.73286164,0.72618115,0.7463972,1,1,1,0,1,1,1,1
covid_2020_02_22_20024927_p18_66_0,2020.02.22.20024927-p18-66%0.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.22.20024927-p18-66%0.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.22.20024927-p18-66%0.png,original,,2020.02.22.20024927-p18-66%0.png,1,0,1,0,1,1,1,1,1,0.0003911979,0.9996088,1,0.3792742,0.46319634,0.72174686,0.6455925,0.7990029,0.46504024,0.54264253,0.70657593,0.69284916,0.7269193,1,1,1,0,1,1,1,1
covid_2020_02_22_20024927_p18_66_1,2020.02.22.20024927-p18-66%1.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.22.20024927-p18-66%1.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.22.20024927-p18-66%1.png,original,,2020.02.22.20024927-p18-66%1.png,1,1,1,0,1,1,1,1,1,5.066792e-06,0.9999949,1,0.3403482,0.45604002,0.7789253,0.69096476,0.8660895,0.45807022,0.56845814,0.76994336,0.7581449,0.7889014,1,1,1,0,1,1,1,1
covid_2020_02_22_20024927_p18_66_2,2020.02.22.20024927-p18-66%2.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.22.20024927-p18-66%2.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.22.20024927-p18-66%2.png,original,,2020.02.22.20024927-p18-66%2.png,1,1,1,0,1,1,1,1,1,0.007286273,0.99271375,1,0.39869237,0.45478296,0.73654133,0.6058476,0.810859,0.41581342,0.5514079,0.69356036,0.68176454,0.69067997,1,1,1,0,1,1,1,1
covid_2020_02_22_20024927_p19_68_0,2020.02.22.20024927-p19-68%0.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.22.20024927-p19-68%0.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.22.20024927-p19-68%0.png,original,,2020.02.22.20024927-p19-68%0.png,0,0,0,0,1,1,1,1,1,0.001053072,0.99894696,1,0.3941267,0.46918106,0.69971484,0.6235363,0.7697598,0.46648648,0.53081894,0.68074936,0.6707465,0.7050437,1,1,1,0,1,1,1,1
