epoch,train_epoch_loss,split,loss,task_accuracy,task_f1_macro,task_precision_macro,task_recall_macro,task_auc,neural_accuracy,neural_f1_macro,neural_precision_macro,neural_recall_macro,neural_auc,concept_accuracy,concept_f1_micro,concept_f1_macro,val_loss,val_task_accuracy,val_task_f1_macro,val_task_precision_macro,val_task_recall_macro,val_task_auc,val_neural_accuracy,val_neural_f1_macro,val_neural_precision_macro,val_neural_recall_macro,val_neural_auc,val_concept_accuracy,val_concept_f1_micro,val_concept_f1_macro
11,0.13136917573434334,train,0.1279689355029,1.0,1.0,1.0,1.0,1.0,0.9552941176470588,0.9543220142436122,0.9624505928853755,0.950261780104712,0.9918557300756254,0.7852941176470588,0.7852941176470588,0.7079140923801118,1.3692905567586422,0.6864406779661016,0.6864181570063923,0.6864406779661016,0.6864942528735632,0.7589080459770116,0.6186440677966102,0.5818568391211907,0.6972540045766591,0.6238505747126437,0.6370689655172413,0.7658898305084746,0.7658898305084746,0.6882929052211656
12,0.14287416995675475,train,0.13134507476179688,0.9952941176470588,0.9952499105865522,0.9948186528497409,0.9957264957264957,1.0,0.9905882352941177,0.9904717065734014,0.9915966386554622,0.9895287958115183,0.9979639325189064,0.8035294117647059,0.8035294117647059,0.7327213886437187,1.499997977167368,0.6864406779661016,0.6846059380192155,0.6934338952972494,0.6879310344827586,0.7813218390804598,0.6271186440677966,0.6013513513513513,0.6817460317460318,0.6316091954022989,0.6752873563218391,0.7934322033898306,0.7934322033898306,0.7209957940206888
13,0.15102655468163667,train,0.12524521461239568,1.0,1.0,1.0,1.0,1.0,0.9952941176470588,0.9952407614781635,0.9957627118644068,0.9947643979057592,0.9956593726227234,0.805,0.805,0.7350490850307669,1.5822053328156471,0.6864406779661016,0.6864181570063923,0.6864406779661016,0.6864942528735632,0.7583333333333334,0.6440677966101694,0.6355882352941176,0.6637820512820513,0.6468390804597701,0.714080459770115,0.801906779661017,0.801906779661017,0.7250920756538735
14,0.13231780407605348,train,0.1323088851791841,0.9952941176470588,0.9952499105865522,0.9948186528497409,0.9957264957264957,1.0,0.9952941176470588,0.9952407614781635,0.9957627118644068,0.9947643979057592,0.995569875151027,0.8035294117647059,0.8035294117647059,0.7351066291455486,1.4897916465997696,0.7033898305084746,0.700789683402159,0.7079266489204378,0.7020114942528736,0.7603448275862068,0.6186440677966102,0.613958560523446,0.6278538812785388,0.6206896551724138,0.7402298850574712,0.8082627118644068,0.8082627118644068,0.7305353997164428
15,0.1251438088991024,train,0.11915925752233576,0.9976470588235294,0.9976215659609713,0.9978723404255319,0.9973821989528796,1.0,0.9976470588235294,0.9976215659609713,0.9978723404255319,0.9973821989528796,0.9994853895377456,0.8061764705882353,0.8061764705882353,0.7368635844497489,1.6609478630125523,0.6610169491525424,0.6585648148148149,0.668452380952381,0.6626436781609195,0.7637931034482759,0.6864406779661016,0.6761848253356078,0.7202202202202203,0.6896551724137931,0.7267241379310345,0.798728813559322,0.798728813559322,0.7228249111420182
16,0.1290088919577775,train,0.11620200204628485,0.9976470588235294,0.9976215659609713,0.9978723404255319,0.9973821989528796,1.0,0.9952941176470588,0.9952407614781635,0.9957627118644068,0.9947643979057592,0.9994630151698215,0.8085294117647058,0.8085294117647058,0.7409055616340765,1.9426792990416288,0.6779661016949152,0.6756365740740741,0.6860119047619048,0.6795977011494253,0.756896551724138,0.652542372881356,0.6388204553938037,0.6869191049913942,0.6560344827586206,0.7451149425287356,0.8008474576271186,0.8008474576271186,0.7240504282169135
17,0.14610769544486646,train,0.13988808459705776,0.9905882352941177,0.9904717065734014,0.9915966386554622,0.9895287958115183,0.9999776256320759,0.9788235294117648,0.9785016945723102,0.9814814814814814,0.9764397905759162,0.9999105025283036,0.8067647058823529,0.8067647058823529,0.7378769251313462,1.4772711209952831,0.6949152542372882,0.6892010535557507,0.7152255639097744,0.6974137931034483,0.807471264367816,0.652542372881356,0.6362132491164749,0.6939393939393939,0.6563218390804597,0.7675287356321839,0.8103813559322034,0.8103813559322034,0.7360306810282207
18,0.14371049983633888,train,0.13253207918670443,0.9929411764705882,0.9928780896522832,0.9922680412371134,0.9935897435897436,0.9998881281603795,0.9882352941176471,0.9881078298048565,0.9883538633818589,0.9878730925851344,0.9982100505660715,0.8091176470588235,0.8091176470588235,0.7391380110768815,1.2294174022972584,0.7542372881355932,0.7540783327344592,0.7542421627840092,0.7540229885057472,0.8189655172413793,0.7372881355932204,0.7363603603603603,0.7429031314018144,0.7385057471264367,0.7830459770114943,0.8177966101694916,0.8177966101694916,0.7375455021563011
19,0.1628534929068,train,0.12907879716820186,0.9929411764705882,0.9928575029830429,0.9936708860759493,0.9921465968586387,0.9999328768962277,0.9882352941176471,0.9880958383050715,0.988901606966514,0.9873920436747662,0.9990602765471877,0.8038235294117647,0.8038235294117647,0.7211880942718156,1.3641680423170328,0.6864406779661016,0.6836919510251395,0.6962840875037459,0.6882183908045978,0.8163793103448275,0.711864406779661,0.7050000000000001,0.739423076923077,0.7146551724137931,0.79683908045977,0.8177966101694916,0.8177966101694916,0.7339258909667735
20,0.1334180142040606,train,0.11279649673788636,0.9952941176470588,0.9952499105865522,0.9948186528497409,0.9957264957264957,1.0,1.0,1.0,1.0,1.0,1.0,0.8155882352941176,0.8155882352941176,0.7319771344485824,1.3137408215552568,0.7288135593220338,0.728735632183908,0.728735632183908,0.728735632183908,0.8229885057471265,0.7372881355932204,0.7363603603603603,0.7429031314018144,0.7385057471264367,0.8014367816091954,0.8241525423728814,0.8241525423728814,0.7357525884455836
