concept_score_absence_of_lobar_consolidation,med_task_prob_covid,med_neural_prob_covid,label
0.9201928,1.7553077e-07,0.2891263,0
0.9840943,3.902983e-13,0.17577651,0
0.74813664,0.0014295302,0.4035493,0
0.8750341,1.0754655e-06,0.32065067,0
0.8186867,0.0003217867,0.3607853,0
0.616928,0.28299028,0.41631243,0
0.75114536,0.0022841282,0.39985615,0
0.7708457,0.000111038535,0.3954383,0
0.75309867,0.00036350518,0.40708745,0
0.7824818,6.6050634e-05,0.3829043,0
0.7537097,0.0017085699,0.39205205,0
0.7944097,8.922477e-05,0.3752455,0
0.81046814,1.8371009e-05,0.35868204,0
0.84078443,3.4202205e-06,0.34075904,0
0.6112328,0.07236518,0.4530937,0
0.67168117,0.037690144,0.42096263,0
0.870152,4.994414e-07,0.3170324,0
0.7627144,0.0047595073,0.39920098,0
0.5973905,0.7379636,0.4416785,0
0.8926588,3.330348e-05,0.3340611,0
0.9688381,4.385351e-11,0.21690877,0
0.8046365,0.00032038472,0.36285642,0
0.83199453,1.9901137e-05,0.35691652,0
0.84599304,1.01224e-05,0.34183836,0
0.91746616,1.341744e-07,0.2896443,0
0.7930981,0.004001861,0.3847888,0
0.7989483,0.002555894,0.37947124,0
0.93164635,4.0125727e-08,0.28030604,0
0.95403594,5.40185e-10,0.24929242,0
0.77786034,0.0013114405,0.37137055,0
0.78216714,0.00015605555,0.36289927,0
0.870377,8.9385964e-07,0.3207889,0
0.8518022,2.8417142e-05,0.34812355,0
0.93209964,1.6448448e-08,0.2731713,0
0.90985554,3.8674236e-07,0.29641622,0
0.8461635,2.339364e-05,0.3478023,0
0.85319257,3.8615082e-05,0.35146636,0
0.7725593,0.00036605506,0.39047527,0
0.8806794,3.991276e-06,0.3275301,0
0.85393304,7.2189573e-06,0.33514938,0
0.8450206,1.3042045e-05,0.3450375,0
0.80930376,0.00035840756,0.36918056,0
0.96377367,1.236823e-10,0.2371432,0
0.9141593,9.065007e-08,0.3167638,0
0.7960191,0.00039132548,0.37923968,0
0.5465207,0.8857077,0.45431542,0
0.81445295,0.00031701455,0.37644896,0
0.86574095,2.6535763e-06,0.32469398,0
0.8864748,2.6035002e-06,0.30882072,0
0.7686531,7.793938e-05,0.38430452,0
0.70336515,0.007278685,0.4094857,0
0.6919936,0.0069272853,0.40496156,0
0.93582815,1.6102456e-08,0.27981365,0
0.8881154,3.070124e-06,0.32628053,0
0.93728,1.2613676e-08,0.274226,0
0.9498496,2.6156703e-09,0.2549406,0
0.895785,5.0848084e-06,0.3319828,0
0.86994255,7.777745e-06,0.34703547,0
0.71257496,0.042774938,0.40873697,0
0.914234,5.508156e-08,0.2920636,0
0.90252656,2.972684e-07,0.30388668,0
0.92129576,8.278884e-08,0.29462543,0
0.89207643,1.0425558e-06,0.31617868,0
0.75299287,0.0057732933,0.3900708,0
0.93723536,1.055292e-08,0.26002875,0
0.85982877,2.002109e-06,0.32984138,0
0.8503124,2.3721297e-05,0.34727585,0
0.9574593,1.5962396e-09,0.24821886,0
0.8955845,1.2361343e-06,0.32281524,0
0.914624,4.0878686e-07,0.2952922,0
0.75080514,0.002540734,0.38206568,0
0.7718962,0.0015166693,0.39112136,0
0.5822137,0.32154074,0.44563162,0
0.8385034,2.6306789e-05,0.35024673,0
0.79867166,0.00088053197,0.38057318,0
0.8912285,2.0207506e-06,0.327118,0
0.9183686,8.40791e-08,0.28542015,0
0.8198979,1.45921595e-05,0.3533166,0
0.82080555,3.0575447e-05,0.35337445,0
0.92642105,4.675984e-09,0.27114293,0
0.87911654,1.0305827e-06,0.32978278,0
0.75024235,0.003892226,0.42272907,0
0.87227964,1.0599422e-05,0.34221864,0
0.86500335,3.8230424e-05,0.35742176,0
0.8099887,6.716202e-05,0.36486965,0
0.90365934,1.6526003e-07,0.30152932,0
0.90338486,2.9065056e-06,0.31877658,0
0.83494276,5.690483e-06,0.3335159,0
0.8426723,1.0969807e-05,0.3457918,0
0.8897098,2.3365573e-07,0.30380446,0
0.7956518,2.9408022e-05,0.35940027,0
0.891201,2.4377584e-07,0.31084612,0
0.7231852,0.0017053417,0.39518505,0
0.77570117,0.0008621287,0.38284567,0
0.89675456,7.259568e-07,0.313615,0
0.54675424,0.76444113,0.45512474,0
0.66479415,0.04869309,0.41399923,0
0.808836,3.1820906e-05,0.3590903,0
0.74743366,0.0011106711,0.39419937,0
0.79833335,0.00046895235,0.36601672,0
0.89184284,1.246155e-06,0.31500328,0
0.84735197,0.000109189095,0.3502107,0
0.7282928,0.032770496,0.40336874,0
0.6811686,0.01062967,0.43387163,0
0.7825204,0.00010298539,0.3823861,0
0.8565409,5.057822e-06,0.33419323,0
0.80827487,0.0002616145,0.36015147,0
0.7568852,0.0057913684,0.3817089,0
0.9083109,7.958261e-07,0.3060092,0
0.9063373,1.0890963e-07,0.2981189,0
0.8481468,9.273797e-06,0.3462553,0
0.9517708,4.794252e-10,0.24793269,0
0.89836556,3.0851731e-07,0.31713653,0
0.94812584,4.259376e-09,0.25891522,0
0.6833594,0.010028537,0.3852627,0
0.66114455,0.019193945,0.40627715,0
0.7904224,0.0008372667,0.36998907,0
0.9460521,3.9115466e-09,0.25962567,0
0.88092905,4.7419513e-07,0.30930808,0
0.92234737,1.042429e-07,0.28853136,0
0.77627903,0.0031813146,0.39654493,0
0.8998361,1.7233049e-06,0.32021925,0
0.84382343,6.4123444e-05,0.34672534,0
0.8627021,1.1724821e-06,0.32228598,0
0.93451476,7.2382043e-09,0.27316478,0
0.8066035,0.00010760619,0.35421956,0
0.775418,0.0006157509,0.38204315,0
0.75343865,0.0011139899,0.3706306,0
0.70835835,0.0052357134,0.39976543,0
0.6585209,0.011527694,0.4047006,0
0.5824642,0.13118696,0.42251706,0
0.56466764,0.29659945,0.4412215,0
0.81169856,0.00028542784,0.3634951,0
0.7055024,0.014250819,0.38516593,0
0.8451928,2.5980908e-05,0.34489462,0
0.88282263,2.4978806e-06,0.31811297,0
0.832113,0.00023157777,0.36939248,0
0.70610946,0.003678278,0.38738778,0
0.7879021,0.001151439,0.3955059,0
0.87490183,8.8061215e-06,0.33117718,0
0.7417579,0.0014156624,0.3816396,0
0.9439556,9.23812e-09,0.26856244,0
0.7959428,0.00051307934,0.3823546,0
0.8630952,1.5331456e-05,0.3311902,0
0.8296915,0.00054888555,0.37234762,0
0.70673144,0.0027257046,0.3784333,0
0.5750492,0.48063987,0.45192468,0
0.8661831,2.497947e-05,0.34180695,0
0.8971515,5.5049804e-06,0.32259557,0
0.80236316,0.0026815736,0.38290635,0
0.7067063,0.03648369,0.41621745,0
0.87753093,1.4728098e-06,0.32133693,0
0.8384809,2.853002e-05,0.3432813,0
0.84725046,1.5493282e-05,0.34972525,0
0.94432044,3.416817e-09,0.26236275,0
0.8877299,9.112051e-06,0.32902974,0
0.80718297,0.0010650798,0.3638274,0
0.78632754,0.0009965774,0.3834228,0
0.8570245,1.6786658e-05,0.343359,0
0.8448828,1.4312382e-05,0.3386995,0
0.85782725,4.0007795e-05,0.3451446,0
0.9187893,2.2333423e-07,0.30068505,0
0.8684411,1.12785e-05,0.3491776,0
0.6987445,0.0048039355,0.39749178,0
0.86388177,5.2988446e-05,0.3480985,0
0.7607489,0.008647721,0.37119988,0
0.86368823,5.3976175e-05,0.34939963,0
0.9024097,2.7559743e-06,0.30779707,0
0.8003461,0.00046332937,0.37203538,0
0.95312506,2.9099334e-08,0.26190865,0
0.83227354,0.00018373235,0.3585357,0
0.75148207,0.007034741,0.39645493,0
0.89222455,1.6616686e-07,0.30794394,0
0.790074,0.00040054123,0.38129592,0
0.8359148,1.07046835e-05,0.34439906,0
0.9374586,8.488135e-09,0.27100417,0
0.7753925,0.0011373245,0.37516537,0
0.8231932,7.110776e-05,0.35963944,0
0.8251545,0.00023403115,0.3517024,0
0.86443734,3.7895323e-05,0.3468849,0
0.8726291,3.1286115e-06,0.32785168,0
0.7992166,4.3643628e-05,0.3579861,0
0.7651836,0.00071386644,0.39055717,0
0.62316746,0.36726052,0.42268848,0
0.95057344,2.3112463e-09,0.25948736,0
0.84215665,2.2108987e-05,0.35248518,0
0.96631193,5.9336885e-10,0.23789003,0
0.91513515,1.7274301e-07,0.29822508,0
0.9170492,1.8506302e-07,0.3008816,0
0.55974567,0.9999645,0.4572568,1
0.5167718,0.98537946,0.46459776,1
0.54266846,0.9995577,0.46203348,1
0.51906383,0.9930962,0.46377867,1
0.7191692,0.060024135,0.39844483,1
0.57278806,0.48237717,0.43501762,1
0.7889998,0.0006613409,0.3797956,1
0.8188115,0.00015661366,0.37488437,1
0.70361394,0.019158592,0.396724,1
0.7939762,0.001142922,0.38626394,1
0.7056012,0.023094868,0.40774745,1
0.6382491,0.092072256,0.42034903,1
0.6480023,0.17274635,0.42001346,1
0.6896843,0.09785409,0.40708786,1
0.7433082,0.0025606782,0.39588565,1
0.8122471,0.00010254608,0.36306322,1
0.73463994,0.028306223,0.38546807,1
0.8101987,0.0008065754,0.3628202,1
0.77996427,0.004687423,0.3977353,1
0.81734365,0.00039754403,0.36265376,1
0.7702178,0.002219205,0.37770122,1
0.5549122,0.99067557,0.45553797,1
0.5283043,0.9991092,0.47113162,1
0.50062585,0.8685968,0.45167047,1
0.56613487,0.42128983,0.45293215,1
0.518207,0.7990451,0.4542585,1
0.49908334,0.91748637,0.4539627,1
0.54351175,0.9999484,0.44607323,1
0.71870005,0.007232932,0.37359887,1
0.71720225,0.035748966,0.42068574,1
0.5202956,0.9961469,0.46843728,1
0.5307786,0.96093315,0.46017542,1
0.55967337,0.93837917,0.45879892,1
0.5553814,0.8234323,0.45338798,1
0.54622155,0.96238273,0.45645323,1
0.52283096,0.98733366,0.4607504,1
0.5361722,0.9695916,0.4597276,1
0.5253791,0.9680748,0.4572526,1
0.53122956,0.9908903,0.4658967,1
0.533777,0.9958429,0.466223,1
0.5258871,0.9643632,0.4582173,1
0.7565025,0.00436167,0.38174304,1
0.71894324,0.0135106,0.39231288,1
0.6781177,0.014707931,0.4089313,1
0.6224676,0.14056948,0.42714518,1
0.5441981,0.9996687,0.45911118,1
0.728723,0.018113727,0.38114205,1
0.6831339,0.05075547,0.39650065,1
0.5813829,0.45081016,0.43333033,1
0.69548386,0.009130019,0.419958,1
0.5487889,0.9976465,0.4663241,1
0.5308485,0.98021555,0.4657582,1
0.5418919,0.88973796,0.45639184,1
0.7666461,0.0022337576,0.38174257,1
0.5480968,0.9999678,0.4559943,1
0.59185946,0.72900903,0.4557733,1
0.5245531,0.99572587,0.47069353,1
0.6783713,0.028047867,0.40129754,1
0.5380836,0.95387363,0.4573798,1
0.56766754,0.9185429,0.45640525,1
0.6027628,0.3777039,0.43911862,1
0.5267223,0.9979752,0.46782586,1
0.51472956,0.97042906,0.45613435,1
0.5211948,0.99343276,0.464091,1
0.53496313,0.9819618,0.4625306,1
0.52691656,0.9816742,0.4601826,1
0.53420544,0.96533173,0.45206234,1
0.5468099,0.9998914,0.46143758,1
0.54397666,0.9250991,0.4534206,1
0.6052805,0.7268893,0.4490354,1
0.52207667,0.97393847,0.46210873,1
0.60697967,0.24215366,0.43625385,1
0.54986745,0.73398864,0.45337117,1
0.5456113,0.99986565,0.45978737,1
0.5224692,0.9818796,0.46589422,1
0.6038419,0.27514797,0.4397419,1
0.5173438,0.97628504,0.46235427,1
0.5329142,0.9786981,0.462079,1
0.6476076,0.08571201,0.41234046,1
0.5454341,0.9933242,0.46290833,1
0.5513369,0.99999917,0.45316872,1
0.5271168,0.9987857,0.47047138,1
0.5137659,0.9716889,0.45905933,1
0.5510827,0.99981457,0.46059796,1
0.53544104,0.97480315,0.4577228,1
0.51174444,0.99275345,0.4624629,1
0.50990653,0.98896575,0.46145013,1
0.55884147,0.99998665,0.45798793,1
0.5286558,0.97692853,0.45822775,1
0.5570894,0.99998105,0.45497108,1
0.52892685,0.99740833,0.47011667,1
0.53040004,0.9980767,0.46959996,1
0.79665786,0.0011636257,0.38578656,1
0.5763931,0.10237419,0.42315912,1
0.5545989,0.8432344,0.45537162,1
0.5366802,0.8048633,0.451962,1
0.53352565,0.9998,0.46647435,1
0.51706386,0.9975163,0.4642313,1
0.5424972,0.9943593,0.46300888,1
0.6341422,0.17071046,0.4348691,1
0.5260189,0.9978295,0.4705933,1
0.5534185,0.9847035,0.45602882,1
0.5197841,0.83032376,0.4548792,1
0.5356046,0.95390576,0.46175316,1
0.53867775,0.6693466,0.451966,1
0.53355545,0.99639636,0.46644455,1
0.51211303,0.97923183,0.45974377,1
0.51818794,0.997224,0.46793824,1
0.5649849,0.7737234,0.45285782,1
0.5563454,0.9236028,0.4553978,1
0.5415642,0.8789941,0.45644996,1
0.7233288,0.08553243,0.3802928,1
0.5374953,0.9995933,0.46398622,1
0.5195017,0.979761,0.45495382,1
0.53711104,0.989869,0.46806607,1
0.56687856,0.7513507,0.45189133,1
0.54815465,0.69473034,0.4536217,1
0.5408536,0.99909174,0.4607552,1
0.54867566,0.99981815,0.46077612,1
0.5349483,0.9502556,0.45191753,1
0.50189805,0.96577984,0.4579723,1
0.5393122,0.9994617,0.46090773,1
0.53114253,0.99880016,0.46885747,1
0.8086176,0.0004600469,0.35040894,1
0.5391227,0.99492246,0.46350145,1
0.5393641,0.97529376,0.45351058,1
0.65306175,0.17034006,0.4244097,1
0.61701155,0.36303994,0.42211488,1
0.5808743,0.6799813,0.44351447,1
0.6442652,0.20665993,0.41103247,1
0.56509006,0.78751016,0.45529568,1
0.53516704,0.9997018,0.46592346,1
0.5356863,0.99877113,0.4643137,1
0.52472204,0.96159506,0.45690572,1
0.6141947,0.45365143,0.43812424,1
0.5654584,0.9416372,0.4601015,1
0.6738387,0.12695284,0.41531447,1
0.5599478,0.9997844,0.45373425,1
0.5426245,0.9824341,0.46468136,1
0.5566325,0.9813411,0.4648237,1
0.6115952,0.46947852,0.42832273,1
0.8577801,6.656929e-06,0.34608418,1
0.65640813,0.29583383,0.42320898,1
0.74268126,0.004813938,0.39856932,1
0.56077516,0.99774665,0.45915723,1
0.5786237,0.94878674,0.45473045,1
0.56165296,0.53171027,0.4537615,1
0.52860004,0.9995466,0.47139996,1
0.54313195,0.9992398,0.4649192,1
0.53220147,0.98404515,0.46113893,1
0.5186372,0.9974058,0.46773556,1
0.727293,0.0066174837,0.4080765,1
0.6272577,0.9634874,0.4587975,1
0.50652564,0.9701885,0.46000648,1
0.5178553,0.96978855,0.4659512,1
0.6268391,0.15282722,0.42087948,1
0.51627517,0.98881197,0.46248376,1
0.51638484,0.9707889,0.46055692,1
0.51646155,0.99755055,0.46681732,1
0.5167257,0.8589209,0.45528895,1
0.5487794,0.9971847,0.46533293,1
0.5375269,0.99182606,0.46275607,1
0.5594787,0.9834841,0.45643327,1
0.5349968,0.9980592,0.4650032,1
0.54934996,0.74771315,0.4567418,1
0.52335715,0.97911763,0.4580896,1
0.53092974,0.996558,0.46851504,1
0.5508494,0.5261505,0.45348054,1
0.5356315,0.9738435,0.45944977,1
0.54154086,0.99980825,0.466588,1
0.84385306,5.49133e-05,0.3612347,1
0.62593454,0.10631184,0.4142501,1
0.56554437,0.797858,0.45436364,1
0.86537737,2.417118e-05,0.34488893,1
0.5433958,0.9955439,0.46461135,1
0.5389171,0.79495233,0.4526554,1
0.5925602,0.36311877,0.4414878,1
0.5282868,0.99582857,0.47018003,1
0.57841843,0.3692144,0.4345371,1
0.5705314,0.8864729,0.45833248,1
0.5652379,0.73826784,0.45500526,1
0.5770723,0.90114814,0.4576113,1
0.5562659,0.9902486,0.45746735,1
0.6588148,0.104292385,0.41081384,1
0.51509887,0.99643904,0.46497396,1
0.5245809,0.97404283,0.46166372,1
0.5160378,0.9974275,0.46608716,1
0.5186306,0.9954396,0.46864197,1
0.5560802,0.99995255,0.45855093,1
0.66067773,0.023684874,0.40843683,1
0.51973933,0.9904677,0.4647699,1
0.5537689,0.9999367,0.45860976,1
0.5207763,0.99501425,0.46500906,1
0.53020996,0.99764746,0.46855062,1
0.51870877,0.9946219,0.46403483,1
0.71721655,0.0176164,0.38478103,1
0.7664201,0.002576608,0.38780734,1
0.8688646,2.1043656e-05,0.3449323,1
0.78443027,0.0021143104,0.3703529,1
0.6400116,0.23749577,0.4200566,1
0.7670534,0.002255894,0.38631344,1
0.6840385,0.09131144,0.41759956,1
0.6139897,0.13039725,0.42765653,1
0.61002827,0.5008988,0.42714384,1
0.8145137,0.0008599914,0.38172168,1
0.7994844,0.000694561,0.35952115,1
0.7125703,0.011933838,0.40486085,1
0.8091938,0.00016608374,0.36596507,1
0.8070334,0.0009214525,0.38500652,1
0.6011899,0.82816505,0.45008188,1
0.65818644,0.22900984,0.4128777,1
0.69716567,0.023136353,0.38127112,1
0.5749939,0.99556535,0.458576,1
0.52534354,0.99888426,0.46989742,1
0.5299871,0.98313105,0.45750976,1
0.5497943,0.5207793,0.45582289,1
0.51407,0.9261387,0.45594558,1
0.5202287,0.9416834,0.45417297,1
0.55253565,0.9999049,0.46167684,1
0.5730647,0.65713036,0.45216283,1
0.51478,0.9683571,0.45593324,1
0.5253548,0.9986687,0.46965596,1
0.5276678,0.9985551,0.46736243,1
0.5864265,0.94348973,0.4570548,1
0.5246268,0.99722505,0.47014856,1
0.62671185,0.70505136,0.43017924,1
0.5465104,0.9998609,0.4555648,1
0.5553892,0.90910244,0.4548168,1
0.52024364,0.9927314,0.4644926,1
0.66064245,0.07013412,0.4158186,1
0.56220216,0.90346533,0.45866346,1
0.561122,0.9887461,0.46214136,1
0.8324062,0.00029212274,0.37491807,1
0.7303578,0.001350987,0.38140374,1
0.7290693,0.005244088,0.39388162,1
0.72648954,0.010541313,0.3960319,1
0.5862591,0.92312026,0.45975494,1
0.5774832,0.5123267,0.45489734,1
0.6521372,0.068575256,0.42549592,1
0.76103544,0.00065337634,0.3810134,1
0.5488391,0.5829093,0.45277962,1
0.556683,0.837989,0.45665678,1
0.5635611,0.8272088,0.4510337,1
0.5619834,0.89359844,0.45331904,1
0.6021259,0.5164244,0.45085248,1
0.5469977,0.96586347,0.45459408,1
0.5298221,0.97185135,0.46148852,1
0.55502623,0.9250986,0.4618606,1
0.767552,0.004251237,0.38916987,1
0.60639614,0.2566668,0.44500124,1
0.76934034,0.0046794256,0.3864243,1
