concept_score_bilateral_involvement,concept_score_crazy_paving_pattern,concept_score_absence_of_lobar_consolidation,concept_score_ground_glass_appearance,med_task_prob_covid,med_neural_prob_covid,label
0.6720221,0.46611705,0.55321795,0.7373901,0.99993443,0.45740667,1
0.6680268,0.46186367,0.5554034,0.7539419,0.9999529,0.45897284,1
0.6687365,0.46120876,0.5532659,0.75621563,0.9999474,0.46114203,1
0.64801663,0.44287467,0.5447962,0.7942426,0.99991167,0.44287467,1
0.6514495,0.4227013,0.56434286,0.7370236,0.999764,0.4581445,1
0.68338233,0.4541021,0.56265306,0.7968945,0.9999672,0.4541021,1
0.68256694,0.46000263,0.56051,0.7629589,0.9999391,0.45662954,1
0.67969686,0.454126,0.560716,0.7934973,0.99998534,0.454126,1
0.6509508,0.46444374,0.5434445,0.715855,0.99938667,0.45956257,1
0.69954336,0.44921198,0.57361597,0.8249586,0.999998,0.44811133,1
0.73449665,0.4539622,0.5878522,0.8129722,0.9999939,0.44695744,1
0.5007331,0.29470536,0.5851491,0.60565126,0.80085266,0.45503744,1
0.50704557,0.3566406,0.5641029,0.6059522,0.90800196,0.45832947,1
0.682034,0.4473198,0.55654687,0.77510804,0.9998956,0.4473198,1
0.56421494,0.42163056,0.5495572,0.63889664,0.9586741,0.44956902,1
0.5129059,0.34196982,0.5432544,0.59734935,0.974342,0.45836997,1
0.6235495,0.46744776,0.533759,0.70711255,0.99939406,0.466241,1
0.61684376,0.46805766,0.52745384,0.69453466,0.9995103,0.47169262,1
0.6693212,0.4632302,0.5572863,0.756504,0.9999311,0.457496,1
0.6574612,0.4640104,0.5534721,0.7508611,0.99992573,0.45875266,1
0.66437346,0.4597367,0.5564746,0.77661556,0.9999949,0.4597367,1
0.5246733,0.41243017,0.5360006,0.5887249,0.63130575,0.45517012,1
0.63798547,0.46477574,0.5381787,0.7225291,0.9997683,0.465202,1
0.59672606,0.47147587,0.5182598,0.68016326,0.99852234,0.46790546,1
0.6580013,0.46156678,0.54866076,0.75464064,0.9999515,0.46201712,1
0.6290831,0.46651718,0.53342813,0.7142801,0.999818,0.46724197,1
0.59968936,0.47784635,0.52360207,0.64520615,0.9961414,0.46661943,1
0.61767834,0.47576562,0.52941686,0.6615967,0.99756324,0.46928886,1
0.61950034,0.46474046,0.5312893,0.71966857,0.9998803,0.4695073,1
0.67078584,0.4604826,0.5576791,0.77233946,0.99999094,0.4604826,1
0.6464599,0.46694994,0.5452347,0.7288763,0.9998909,0.4608698,1
0.6647053,0.4627212,0.5531061,0.7488609,0.9998753,0.45976081,1
0.63424885,0.46270335,0.53840715,0.7373934,0.9998661,0.46744958,1
0.62934774,0.46602136,0.53563434,0.717828,0.99970144,0.46586627,1
0.59762454,0.46952438,0.51853555,0.68277025,0.9964038,0.46751884,1
0.6247023,0.46555462,0.5316825,0.7118523,0.9994199,0.4683175,1
0.6359909,0.46394357,0.54153836,0.7308929,0.9993332,0.46435332,1
0.599048,0.46173224,0.5173393,0.6751325,0.9931443,0.46497864,1
0.6583552,0.45979014,0.5495442,0.758342,0.99991345,0.4598583,1
0.63015205,0.4666919,0.5368212,0.7190723,0.9998491,0.46513456,1
0.5306608,0.41371557,0.5246663,0.5960723,0.8975424,0.45714834,1
0.580836,0.46901923,0.5111221,0.6236523,0.98279107,0.46157283,1
0.6147877,0.46152788,0.52478987,0.68375605,0.993028,0.46839908,1
0.5389627,0.37117434,0.5582682,0.63225406,0.9748507,0.46103728,1
0.6802131,0.46814448,0.55551994,0.7197996,0.9997985,0.45289877,1
0.6117821,0.47071,0.52395195,0.6660244,0.99653184,0.46728703,1
0.6436326,0.4627022,0.54402167,0.742912,0.99989796,0.46439034,1
0.60326993,0.45266283,0.52457696,0.6839823,0.99087286,0.46950677,1
0.6158726,0.46234998,0.52345914,0.67297846,0.99679035,0.46884707,1
0.6474011,0.46703205,0.54154474,0.71789354,0.999752,0.4623563,1
0.6132347,0.47587442,0.5268073,0.6590053,0.9969658,0.4685931,1
0.6170797,0.47308174,0.53069335,0.6841868,0.9993838,0.46930665,1
0.62138355,0.46786845,0.52722,0.6736884,0.99686795,0.47020864,1
0.54166454,0.37118348,0.55614126,0.64276856,0.9889437,0.45833546,1
0.6232263,0.46917915,0.5299485,0.68655527,0.9992955,0.47005153,1
0.6250613,0.47002053,0.5269617,0.66249573,0.99799806,0.46905175,1
0.6229727,0.47186163,0.5311744,0.6889382,0.99951506,0.46882558,1
0.60309434,0.45722458,0.5188923,0.6557402,0.99304235,0.46659052,1
0.7055388,0.44854298,0.57792574,0.83584183,0.9999999,0.44722724,1
0.5039443,0.37867442,0.5385076,0.5911409,0.9008645,0.45428458,1
0.6359677,0.46553695,0.5391384,0.7218549,0.9993849,0.46455133,1
0.49698296,0.19550936,0.85950625,0.44747195,6.48876e-06,0.33444408,0
0.49148345,0.28968665,0.7143761,0.46359864,0.0021731323,0.38715255,0
0.5319442,0.09921191,0.9519204,0.44425943,2.2742856e-09,0.26065445,0
0.51754546,0.10987844,0.94170874,0.42361924,1.895301e-07,0.27493012,0
0.5228495,0.08314679,0.9614802,0.4589587,4.7363646e-10,0.23655352,0
0.49482372,0.22331254,0.7983249,0.43231985,2.054596e-05,0.3532945,0
0.5464316,0.26190493,0.8181754,0.45446315,0.00020538882,0.37580338,0
0.5396551,0.15687515,0.9120584,0.43650618,1.0748073e-06,0.3169767,0
0.50420034,0.2515056,0.81228447,0.487284,4.603946e-05,0.36772048,0
0.5067714,0.1844216,0.87240964,0.47016966,9.736494e-07,0.31907538,0
0.5105938,0.15591,0.90294254,0.45800424,3.260299e-07,0.30479172,0
0.49489403,0.28912514,0.7584538,0.4665014,0.0005815677,0.38523245,0
0.4936839,0.27741182,0.7694845,0.47710007,0.00014670967,0.3886888,0
0.4914975,0.3069747,0.7385314,0.46185166,0.0009184639,0.3986628,0
0.49943438,0.2722787,0.77288646,0.46295533,0.00014801168,0.37274432,0
0.49035138,0.28678796,0.75355345,0.45789686,0.00042913892,0.38215542,0
0.5176769,0.19772844,0.8724284,0.45951223,4.533325e-06,0.3360078,0
0.49899417,0.19658236,0.8559897,0.44299278,4.1825137e-06,0.33677757,0
0.51620364,0.22703984,0.8323197,0.44440955,3.701398e-05,0.35553688,0
0.51136446,0.3536824,0.6368285,0.5103339,0.07125086,0.41935885,0
0.5255735,0.20163143,0.8713333,0.48010567,4.3743744e-06,0.3278921,0
0.51162905,0.27902502,0.7351877,0.45913622,0.0050730864,0.40103033,0
0.49655032,0.16735838,0.8944693,0.44447637,1.5697068e-06,0.32138807,0
0.5165625,0.19760032,0.86851954,0.4703995,1.33329e-06,0.32730877,0
0.5252546,0.13374315,0.91963875,0.44782025,2.204003e-08,0.28822386,0
0.5129093,0.3086255,0.74735194,0.46141836,0.0013306937,0.3941247,0
0.5318645,0.16826499,0.8958522,0.4490381,8.2881246e-07,0.31539315,0
0.5021382,0.29018298,0.7239721,0.4565053,0.004983906,0.3998102,0
0.51449597,0.070785865,0.96574926,0.46407214,1.1604747e-10,0.2187863,0
0.50357294,0.1388338,0.9083602,0.437777,5.0164965e-07,0.2955605,0
0.5266646,0.23616894,0.822722,0.47725794,1.5017872e-05,0.3473251,0
0.5124007,0.14135487,0.9138161,0.45216838,1.2805599e-07,0.29328552,0
0.5110111,0.13376662,0.91730946,0.4448493,7.93866e-08,0.2878397,0
0.5432007,0.0906309,0.9626639,0.46156663,4.7450904e-10,0.24526513,0
0.518957,0.12045195,0.93385464,0.46254012,1.6507535e-08,0.272707,0
0.5344753,0.13808887,0.9266058,0.45183298,1.14341894e-07,0.2934577,0
0.5016282,0.23638949,0.82222974,0.49675158,6.029992e-06,0.36850947,0
0.5213305,0.21927252,0.8508861,0.4936802,1.8127062e-06,0.33567291,0
0.5060161,0.20968723,0.83982694,0.4814214,2.2601776e-06,0.33479583,0
0.5054979,0.16465466,0.8947485,0.47228935,5.9639376e-07,0.30460522,0
0.52674663,0.11796399,0.93182963,0.47268435,4.860502e-09,0.26604086,0
0.52114874,0.29084435,0.73788553,0.5003754,0.0035740698,0.38447237,0
0.5163912,0.25805953,0.8120691,0.45353806,0.00043299867,0.3761769,0
0.5139979,0.25134525,0.7635996,0.5428618,0.0074549075,0.36659908,0
0.5195611,0.1455863,0.91725934,0.45722738,6.977559e-08,0.2979036,0
0.5219202,0.14328188,0.9201928,0.47580487,1.7553077e-07,0.2891263,0
0.5299785,0.045434736,0.9840943,0.48609006,3.902983e-13,0.17577651,0
0.51230377,0.31308237,0.74813664,0.46758857,0.0014295302,0.4035493,0
0.5126648,0.1847235,0.8750341,0.46785915,1.0754655e-06,0.32065067,0
0.4860912,0.23596868,0.8186867,0.45902064,0.0003217867,0.3607853,0
0.4864992,0.31248385,0.616928,0.55300415,0.28299028,0.41631243,0
0.5108002,0.31016484,0.75114536,0.46664098,0.0022841282,0.39985615,0
0.49436477,0.27762848,0.7708457,0.4859789,0.000111038535,0.3954383,0
0.49971518,0.29868942,0.75309867,0.48450974,0.00036350518,0.40708745,0
0.49111462,0.26259395,0.7824818,0.48687473,6.6050634e-05,0.3829043,0
0.50108755,0.27589977,0.7537097,0.5093144,0.0017085699,0.39205205,0
0.49434236,0.2626538,0.7944097,0.47735733,8.922477e-05,0.3752455,0
0.5114364,0.2491045,0.81046814,0.47321755,1.8371009e-05,0.35868204,0
0.514114,0.22382231,0.84078443,0.48048848,3.4202205e-06,0.34075904,0
0.5100718,0.40495685,0.6112328,0.47497794,0.07236518,0.4530937,0
0.521926,0.35576257,0.67168117,0.47890493,0.037690144,0.42096263,0
0.5165873,0.18054302,0.870152,0.4617074,4.994414e-07,0.3170324,0
0.5327912,0.28868765,0.7627144,0.44654277,0.0047595073,0.39920098,0
0.481835,0.32453987,0.5973905,0.58727205,0.7379636,0.4416785,0
0.52484065,0.18452954,0.8926588,0.45414394,3.330348e-05,0.3340611,0
0.52334034,0.0645166,0.9688381,0.43757543,4.385351e-11,0.21690877,0
0.5185417,0.24147223,0.8046365,0.43874988,0.00032038472,0.36285642,0
0.5058582,0.23853551,0.83199453,0.46944252,1.9901137e-05,0.35691652,0
0.52100265,0.21086815,0.84599304,0.44538555,1.01224e-05,0.34183836,0
0.5409115,0.1416864,0.91746616,0.46339,1.341744e-07,0.2896443,0
0.548455,0.27705655,0.7930981,0.46378672,0.004001861,0.3847888,0
0.51675224,0.24942699,0.7989483,0.45792654,0.002555894,0.37947124,0
0.5263571,0.120154604,0.93164635,0.43728584,4.0125727e-08,0.28030604,0
0.54953694,0.099962875,0.95403594,0.47732472,5.40185e-10,0.24929242,0
0.5354735,0.23953539,0.77786034,0.45297265,0.0013114405,0.37137055,0
0.49553555,0.2534226,0.78216714,0.46872804,0.00015605555,0.36289927,0
0.52735674,0.18519902,0.870377,0.4661033,8.9385964e-07,0.3207889,0
0.5154512,0.21305016,0.8518022,0.44580352,2.8417142e-05,0.34812355,0
0.53660613,0.11939287,0.93209964,0.45016998,1.6448448e-08,0.2731713,0
0.5296015,0.14663583,0.90985554,0.44888967,3.8674236e-07,0.29641622,0
0.52481544,0.2159012,0.8461635,0.44760528,2.339364e-05,0.3478023,0
0.515688,0.21959394,0.85319257,0.45991668,3.8615082e-05,0.35146636,0
0.506959,0.27594778,0.7725593,0.4828589,0.00036605506,0.39047527,0
0.5317557,0.19311906,0.8806794,0.47114164,3.991276e-06,0.3275301,0
0.5241473,0.22050397,0.85393304,0.49365348,7.2189573e-06,0.33514938,0
0.53336173,0.22118086,0.8450206,0.46083742,1.3042045e-05,0.3450375,0
0.5231101,0.25659403,0.80930376,0.4567869,0.00035840756,0.36918056,0
0.5418097,0.0864285,0.96377367,0.46933845,1.236823e-10,0.2371432,0
0.5389332,0.16192651,0.9141593,0.4521097,9.065007e-08,0.3167638,0
0.5061538,0.24042608,0.7960191,0.45057312,0.00039132548,0.37923968,0
0.5238344,0.39702803,0.5465207,0.56484294,0.8857077,0.45431542,0
0.53529364,0.2562566,0.81445295,0.44056678,0.00031701455,0.37644896,0
0.49942344,0.18874682,0.86574095,0.46219337,2.6535763e-06,0.32469398,0
0.49431765,0.16742927,0.8864748,0.4683724,2.6035002e-06,0.30882072,0
0.5048992,0.28204858,0.7686531,0.4705253,7.793938e-05,0.38430452,0
0.5137596,0.35637927,0.70336515,0.47131544,0.007278685,0.4094857,0
0.51182556,0.3226591,0.6919936,0.47918314,0.0069272853,0.40496156,0
0.5326303,0.123750225,0.93582815,0.45296684,1.6102456e-08,0.27981365,0
0.5221936,0.18022212,0.8881154,0.45031503,3.070124e-06,0.32628053,0
0.5278719,0.12231863,0.93728,0.4649393,1.2613676e-08,0.274226,0
0.5366664,0.09844037,0.9498496,0.44385347,2.6156703e-09,0.2549406,0
0.5383747,0.18397859,0.895785,0.45141152,5.0848084e-06,0.3319828,0
0.5282303,0.20285569,0.86994255,0.44209227,7.777745e-06,0.34703547,0
0.52964294,0.31505436,0.71257496,0.4849462,0.042774938,0.40873697,0
0.5224718,0.15454583,0.914234,0.49987724,5.508156e-08,0.2920636,0
0.5179868,0.15892127,0.90252656,0.46626878,2.972684e-07,0.30388668,0
0.5142158,0.15226698,0.92129576,0.49540994,8.278884e-08,0.29462543,0
0.517992,0.17543244,0.89207643,0.4720634,1.0425558e-06,0.31617868,0
0.51315945,0.29628527,0.75299287,0.45313552,0.0057732933,0.3900708,0
0.51735675,0.107817866,0.93723536,0.45957723,1.055292e-08,0.26002875,0
0.5337415,0.19356285,0.85982877,0.44959074,2.002109e-06,0.32984138,0
0.5288894,0.22360212,0.8503124,0.46633336,2.3721297e-05,0.34727585,0
0.5277183,0.09027165,0.9574593,0.4444403,1.5962396e-09,0.24821886,0
0.5357985,0.17603227,0.8955845,0.45474583,1.2361343e-06,0.32281524,0
0.5368893,0.14598742,0.914624,0.45816356,4.0878686e-07,0.2952922,0
0.5157373,0.26615235,0.75080514,0.46275955,0.002540734,0.38206568,0
0.52093905,0.28859404,0.7718962,0.45346758,0.0015166693,0.39112136,0
0.50568384,0.3592944,0.5822137,0.5572111,0.32154074,0.44563162,0
0.5141507,0.23456682,0.8385034,0.4778623,2.6306789e-05,0.35024673,0
0.53766775,0.26332128,0.79867166,0.46043965,0.00088053197,0.38057318,0
0.5409382,0.18392892,0.8912285,0.45736587,2.0207506e-06,0.327118,0
0.5250178,0.13341495,0.9183686,0.4568432,8.40791e-08,0.28542015,0
0.52314365,0.24618043,0.8198979,0.48104578,1.45921595e-05,0.3533166,0
0.513695,0.23822764,0.82080555,0.4669582,3.0575447e-05,0.35337445,0
0.5206177,0.12659808,0.92642105,0.49169096,4.675984e-09,0.27114293,0
0.5223965,0.19238366,0.87911654,0.46912825,1.0305827e-06,0.32978278,0
0.5216484,0.3169726,0.75024235,0.5048847,0.003892226,0.42272907,0
0.53167653,0.21348944,0.87227964,0.47073254,1.0599422e-05,0.34221864,0
0.518078,0.23853421,0.86500335,0.4936716,3.8230424e-05,0.35742176,0
0.52489394,0.24966618,0.8099887,0.45471367,6.716202e-05,0.36486965,0
0.5220933,0.16081755,0.90365934,0.4780719,1.6526003e-07,0.30152932,0
0.52275795,0.16180687,0.90338486,0.43783674,2.9065056e-06,0.31877658,0
0.5136088,0.20705913,0.83494276,0.46047482,5.690483e-06,0.3335159,0
0.51824635,0.21600083,0.8426723,0.4534963,1.0969807e-05,0.3457918,0
0.5113782,0.15622693,0.8897098,0.44757107,2.3365573e-07,0.30380446,0
0.5241024,0.25401393,0.7956518,0.46345255,2.9408022e-05,0.35940027,0
0.53604364,0.16829719,0.891201,0.45843065,2.4377584e-07,0.31084612,0
0.506739,0.2868521,0.7231852,0.450992,0.0017053417,0.39518505,0
0.50765157,0.26048067,0.77570117,0.44248557,0.0008621287,0.38284567,0
0.52191514,0.16646802,0.89675456,0.45215258,7.259568e-07,0.313615,0
0.51542157,0.37111863,0.54675424,0.5673383,0.76444113,0.45512474,0
0.5003785,0.32761398,0.66479415,0.4825963,0.04869309,0.41399923,0
0.50291127,0.24970013,0.808836,0.47000492,3.1820906e-05,0.3590903,0
0.5083688,0.30798212,0.74743366,0.46629822,0.0011106711,0.39419937,0
0.52346396,0.2465437,0.79833335,0.5068774,0.00046895235,0.36601672,0
0.5256156,0.17270571,0.89184284,0.4583512,1.246155e-06,0.31500328,0
0.5117499,0.21216956,0.84735197,0.44032598,0.000109189095,0.3502107,0
0.5122169,0.29749218,0.7282928,0.47024992,0.032770496,0.40336874,0
0.51287943,0.36987606,0.6811686,0.45583066,0.01062967,0.43387163,0
0.51762486,0.28518066,0.7825204,0.4879478,0.00010298539,0.3823861,0
0.51701266,0.20080161,0.8565409,0.45402098,5.057822e-06,0.33419323,0
0.5139642,0.23379189,0.80827487,0.45110103,0.0002616145,0.36015147,0
0.53115356,0.26332816,0.7568852,0.47677043,0.0057913684,0.3817089,0
0.5286172,0.15545997,0.9083109,0.44901904,7.958261e-07,0.3060092,0
0.5053668,0.1598312,0.9063373,0.49382922,1.0890963e-07,0.2981189,0
0.5127368,0.21451543,0.8481468,0.45818385,9.273797e-06,0.3462553,0
0.5288043,0.099424176,0.9517708,0.48177338,4.794252e-10,0.24793269,0
0.52473974,0.17082246,0.89836556,0.4601826,3.0851731e-07,0.31713653,0
0.52651614,0.10423706,0.94812584,0.46265924,4.259376e-09,0.25891522,0
0.49718237,0.28738078,0.6833594,0.5223883,0.010028537,0.3852627,0
0.5157061,0.33362976,0.66114455,0.4736883,0.019193945,0.40627715,0
0.52103436,0.25907996,0.7904224,0.44832927,0.0008372667,0.36998907,0
0.509146,0.10220976,0.9460521,0.45483425,3.9115466e-09,0.25962567,0
0.51228017,0.15946406,0.88092905,0.4369292,4.7419513e-07,0.30930808,0
0.53001267,0.14577189,0.92234737,0.48309365,1.042429e-07,0.28853136,0
0.5244209,0.29994988,0.77627903,0.45442453,0.0031813146,0.39654493,0
